camera_id,name,url_image,road,km,location_info,latitude,longitude
101,Nocedal,https://www.trafikoa.eus/static/files/tr/camaras/847.jpg,A-8,129.500,,43.31848,-3.050342
102,Trapaga,https://www.trafikoa.eus/static/files/tr/camaras/849.jpg,A-8,125.500,,43.2972,-3.020573
103,Trapaga 2,https://www.trafikoa.eus/static/files/tr/camaras/850.jpg,A-8,125.500,,43.29646,-3.019722
104,Entrada Portugalete,https://www.trafikoa.eus/static/files/tr/camaras/848.jpg,A-8,127.000,,43.30792,-3.02781
105,Ibarrekolanda,https://www.trafikoa.eus/static/files/tr/camaras/6002.jpg,BI-604,4.700,,43.28569,-2.958599
106,Enekuri,https://www.trafikoa.eus/static/files/tr/camaras/6001.jpg,BI-604,5.300,,43.28985,-2.96085
107,Asua,https://www.trafikoa.eus/static/files/tr/camaras/6003.jpg,BI-604,6.500,,43.29874,-2.953727
108,Gerediaga,https://www.trafikoa.eus/static/files/tr/camaras/851.jpg,A-8,87.000,,43.17411,-2.615571
109,Barakaldo,https://www.trafikoa.eus/static/files/tr/camaras/6008.jpg,N-637,8.900,,43.28938,-2.985772
110,Kukularra,https://www.trafikoa.eus/static/files/tr/camaras/6009.jpg,N-637,11.100,,43.3009,-2.964104
111,Incorporación Astrabudua,https://www.trafikoa.eus/static/files/tr/camaras/6010.jpg,BI-637,10.000,,43.3159,-2.968442
112,Leioa,https://www.trafikoa.eus/static/files/tr/camaras/6005.jpg,BI-637,11.700,,43.324831,-2.985478
113,Durana Arkaute,https://www.trafikoa.eus/static/files/tr/camaras/124.jpg,A-1,356.900,,42.881957,-2.634242
114,Luko,https://www.trafikoa.eus/static/files/tr/camaras/4003.jpg,N-240,10.100,,42.926571,-2.643958
115,Jundiz,https://www.trafikoa.eus/static/files/tr/camaras/1021.jpg,N-102,344.800,,42.828445,-2.739926
116,Jundiz,https://www.trafikoa.eus/static/files/tr/camaras/126.jpg,A-1,345.450,,42.836502,-2.752356
117,Arangiz,https://www.trafikoa.eus/static/files/tr/camaras/2206.jpg,N-622,5.850,,42.889243,-2.69813
118,Agurain,https://www.trafikoa.eus/static/files/tr/camaras/125.jpg,A-1,376.200,,42.846541,-2.418701
119,Leioa túnel 1,https://www.trafikoa.eus/static/files/tr/camaras/3728.jpg,BI-637,11.800,,43.325103,-2.985974
120,Leioa túnel 2,https://www.trafikoa.eus/static/files/tr/camaras/3727.jpg,BI-637,11.900,,43.327398,-2.990669
121,Leioa túnel 3,https://www.trafikoa.eus/static/files/tr/camaras/3726.jpg,BI-637,11.950,,43.327905,-2.991566
122,Leioa túnel 4,https://www.trafikoa.eus/static/files/tr/camaras/3725.jpg,BI-637,12.000,,43.329212,-2.994179
123,Entrada túnel Romo,https://www.trafikoa.eus/static/files/tr/camaras/3722.jpg,BI-637,13.550,,43.33358,-3.001458
124,Salida túnel Romo,https://www.trafikoa.eus/static/files/tr/camaras/3721.jpg,BI-637,13.450,,43.33283,-3.00173
125,Salida Miraflores 2,https://www.trafikoa.eus/static/files/tr/camaras/827.jpg,A-8,115.200,,43.24372,-2.930473
126,Lopidana (2),https://www.trafikoa.eus/static/files/tr/camaras/127 .jpg,A-1,350.000,,42.8801,-2.707395
127,Etxabarri Ibiña (2),https://www.trafikoa.eus/static/files/tr/camaras/2207.jpg,N-622,8.000,,42.905311,-2.710822
128,Abetxuko-Irun (2),https://www.trafikoa.eus/static/files/tr/camaras/128.jpg,A-1,353.500,,48.87984,-2.677959
129,Campa Erandio (2),https://www.trafikoa.eus/static/files/tr/camaras/3729.jpg,BI-637,8.900,,43.31036,-2.962614
130,Añorga (2),https://www.trafikoa.eus/static/files/tr/camaras/2001.jpg,GI-20,11.000,,43.295609,-1.997044
